,CustomerID,churn_prob
2899,5712-VBOXD,0.4244198423092699
1027,8714-CTZJW,0.4244198423092699
2118,1564-HJUVY,0.4244198423092699
5020,7976-CICYS,0.4244198423092699
1647,3420-ZDBMA,0.42243643744441745
3882,2495-KZNFB,0.42201789736113265
3495,1319-YLZJG,0.4215314751804641
258,6243-OZGFH,0.4203862618370278
678,7508-SMHXL,0.4200278415091396
3694,9699-UBQFS,0.41943748021248645
4750,9529-OFXHY,0.4189363828318556
1959,5609-IMCGG,0.4189363828318556
2608,1703-MGIAB,0.41839251631646185
1358,8058-DMYRU,0.41829384210699194
3302,4693-VWVBO,0.41809503383489616
2193,0258-NOKBL,0.41809503383489616
2098,9743-DQKQW,0.41809503383489616
4280,0374-IOEGQ,0.41809503383489616
2914,7404-JLKQG,0.41809503383489616
1548,3744-ZBHON,0.41809503383489616
139,8167-GJLRN,0.41809503383489616
1125,2984-AFWNC,0.41809503383489616
3317,0225-ZORZP,0.41809503383489616
296,2519-ERQOJ,0.41780860945488296
2672,9373-WSLOY,0.41780860945488296
2825,7714-YXSMB,0.4177931277867635
2368,3694-GLTJM,0.4173080592887368
2434,7284-BUYEC,0.4173080592887368
4250,9761-XUJWD,0.4173080592887368
560,1635-FJFCC,0.4173080592887368
618,0295-QVKPB,0.4173080592887368
36,6575-SUVOI,0.4163612344177137
4950,0749-IRGQE,0.4155213588034298
4705,2974-GGUXS,0.41521998510243063
3543,4948-WBBKL,0.41521998510243063
2383,4931-TRZWN,0.41443324253743263
3252,1307-ATKGB,0.41329353563732574
2200,2960-NKRSO,0.41329353563732574
859,6242-MBHPK,0.4118661542120843
4523,2322-VCZHZ,0.4118661542120843
4473,9881-VCZEP,0.41149647133168843
2999,0531-ZZJWQ,0.4112113729698128
3973,8676-OOQEJ,0.4110135524515339
1641,3496-LFSZU,0.4110135524515339
1598,2038-OEQZH,0.4110135524515339
4168,6469-QJKZW,0.4110135524515339
2989,9522-BNTHX,0.4107285551601418
289,3597-MVHJT,0.4107131507636737
3687,5600-PDUJF,0.4102305103571941
2866,5816-SCGFC,0.4082663808982454
1957,6131-FOYAS,0.4078519661478616
473,3003-CMDUU,0.4062366051509852
1584,7978-DKUQH,0.4062366051509852
4923,7895-VONWT,0.4062366051509852
3647,3898-GUYTS,0.40529742776650857
3094,1768-HNVGJ,0.40529742776650857
3761,6591-QGOYB,0.4048014446084272
3139,5939-XAIXZ,0.4042631614816143
1524,7901-TBKJX,0.40416550391512884
4427,4482-FTFFX,0.4039687473684996
4094,6918-UMQCG,0.4039687473684996
3052,8450-UYIBU,0.40368528690915895
1314,2155-AMQRX,0.4036699657139803
313,5605-IYGFG,0.40318993907276013
4069,5044-LRQAQ,0.40318993907276013
3298,8242-JSVBO,0.40318993907276013
187,0221-WMXNQ,0.40255147435738003
2155,2761-XECQW,0.40123658554744107
1829,5630-IXDXV,0.3996966453462085
42,0434-CSFON,0.3996966453462085
4666,3384-CTMSF,0.3996966453462085
2122,5226-NOZFC,0.3992181804802743
1795,0142-GVYSN,0.3992181804802743
4808,5949-HGVJL,0.3992181804802743
3949,6559-PDZLR,0.3992181804802743
1747,7268-IGMFD,0.3988653882456353
3276,0577-WHMEV,0.39856654780700107
1193,4939-KYYPY,0.397440859267662
1064,3211-AAPKX,0.39725602049076003
197,7529-ZDFXI,0.3971589271580348
4505,6218-KNUBD,0.3969633090826222
3013,2476-YGEFM,0.39666626051899223
465,6464-KEXXH,0.39618902909879494
1735,3981-QSVQI,0.39618902909879494
1624,4365-MSDYN,0.39618902909879494
167,6496-JDSSB,0.39618902909879494
3023,3345-PBBFH,0.39618902909879494
1265,5515-RUGKN,0.39618902909879494
1818,7140-ADSMJ,0.39618902909879494
4562,6458-CYIDZ,0.39555430285329923
1500,6557-BZXLQ,0.39443154247162215
544,6549-YMFAW,0.3942471875360845
2557,9576-SYUHJ,0.3938375318938602
1042,5651-WYIPH,0.39365897706896436
3000,6537-QLGEX,0.39336148487626166
1508,2038-LLMLM,0.3927164784465767
